x0,x1,x2,x3,x4,x0 x1,x0 x2,x0 x3,x0 x4,x1 x2,x1 x3,x1 x4,x2 x3,x2 x4,x3 x4
0.0,0.41,2.31,0.0,25.0,0.0,0.0,0.0,0.0,0.9471,0.0,10.25,0.0,57.75,0.0
0.0,0.41,2.31,3.0,25.0,0.0,0.0,0.0,0.0,0.9471,1.23,10.25,6.93,57.75,75.0
0.0,0.41,2.31,6.0,25.0,0.0,0.0,0.0,0.0,0.9471,2.46,10.25,13.86,57.75,150.0
0.0,0.41,2.31,9.0,25.0,0.0,0.0,0.0,0.0,0.9471,3.69,10.25,20.79,57.75,225.0
0.0,0.41,2.31,12.0,25.0,0.0,0.0,0.0,0.0,0.9471,4.92,10.25,27.72,57.75,300.0
0.0,0.41,2.31,15.0,25.0,0.0,0.0,0.0,0.0,0.9471,6.15,10.25,34.65,57.75,375.0
0.0,0.41,2.31,18.0,25.0,0.0,0.0,0.0,0.0,0.9471,7.38,10.25,41.58,57.75,450.0
0.0,0.41,2.31,21.0,25.0,0.0,0.0,0.0,0.0,0.9471,8.61,10.25,48.51,57.75,525.0
0.0,0.41,2.31,24.0,25.0,0.0,0.0,0.0,0.0,0.9471,9.84,10.25,55.44,57.75,600.0
30.0,0.41,2.31,0.0,25.0,12.3,69.3,0.0,750.0,0.9471,0.0,10.25,0.0,57.75,0.0
30.0,0.41,2.31,3.0,25.0,12.3,69.3,90.0,750.0,0.9471,1.23,10.25,6.93,57.75,75.0
30.0,0.41,2.31,6.0,25.0,12.3,69.3,180.0,750.0,0.9471,2.46,10.25,13.86,57.75,150.0
30.0,0.41,2.31,9.0,25.0,12.3,69.3,270.0,750.0,0.9471,3.69,10.25,20.79,57.75,225.0
30.0,0.41,2.31,12.0,25.0,12.3,69.3,360.0,750.0,0.9471,4.92,10.25,27.72,57.75,300.0
30.0,0.41,2.31,15.0,25.0,12.3,69.3,450.0,750.0,0.9471,6.15,10.25,34.65,57.75,375.0
30.0,0.41,2.31,18.0,25.0,12.3,69.3,540.0,750.0,0.9471,7.38,10.25,41.58,57.75,450.0
30.0,0.41,2.31,21.0,25.0,12.3,69.3,630.0,750.0,0.9471,8.61,10.25,48.51,57.75,525.0
30.0,0.41,2.31,24.0,25.0,12.3,69.3,720.0,750.0,0.9471,9.84,10.25,55.44,57.75,600.0
70.0,0.41,2.31,0.0,25.0,28.7,161.70000000000002,0.0,1750.0,0.9471,0.0,10.25,0.0,57.75,0.0
70.0,0.41,2.31,3.0,25.0,28.7,161.70000000000002,210.0,1750.0,0.9471,1.23,10.25,6.93,57.75,75.0
70.0,0.41,2.31,6.0,25.0,28.7,161.70000000000002,420.0,1750.0,0.9471,2.46,10.25,13.86,57.75,150.0
70.0,0.41,2.31,9.0,25.0,28.7,161.70000000000002,630.0,1750.0,0.9471,3.69,10.25,20.79,57.75,225.0
70.0,0.41,2.31,12.0,25.0,28.7,161.70000000000002,840.0,1750.0,0.9471,4.92,10.25,27.72,57.75,300.0
70.0,0.41,2.31,15.0,25.0,28.7,161.70000000000002,1050.0,1750.0,0.9471,6.15,10.25,34.65,57.75,375.0
70.0,0.41,2.31,18.0,25.0,28.7,161.70000000000002,1260.0,1750.0,0.9471,7.38,10.25,41.58,57.75,450.0
70.0,0.41,2.31,21.0,25.0,28.7,161.70000000000002,1470.0,1750.0,0.9471,8.61,10.25,48.51,57.75,525.0
70.0,0.41,2.31,24.0,25.0,28.7,161.70000000000002,1680.0,1750.0,0.9471,9.84,10.25,55.44,57.75,600.0
100.0,0.41,2.31,0.0,25.0,41.0,231.0,0.0,2500.0,0.9471,0.0,10.25,0.0,57.75,0.0
100.0,0.41,2.31,3.0,25.0,41.0,231.0,300.0,2500.0,0.9471,1.23,10.25,6.93,57.75,75.0
100.0,0.41,2.31,6.0,25.0,41.0,231.0,600.0,2500.0,0.9471,2.46,10.25,13.86,57.75,150.0
100.0,0.41,2.31,9.0,25.0,41.0,231.0,900.0,2500.0,0.9471,3.69,10.25,20.79,57.75,225.0
100.0,0.41,2.31,12.0,25.0,41.0,231.0,1200.0,2500.0,0.9471,4.92,10.25,27.72,57.75,300.0
100.0,0.41,2.31,15.0,25.0,41.0,231.0,1500.0,2500.0,0.9471,6.15,10.25,34.65,57.75,375.0
100.0,0.41,2.31,18.0,25.0,41.0,231.0,1800.0,2500.0,0.9471,7.38,10.25,41.58,57.75,450.0
100.0,0.41,2.31,21.0,25.0,41.0,231.0,2100.0,2500.0,0.9471,8.61,10.25,48.51,57.75,525.0
100.0,0.41,2.31,24.0,25.0,41.0,231.0,2400.0,2500.0,0.9471,9.84,10.25,55.44,57.75,600.0
100.0,0.41,2.31,27.0,25.0,41.0,231.0,2700.0,2500.0,0.9471,11.07,10.25,62.370000000000005,57.75,675.0
0.0,0.32,1.5,0.0,25.0,0.0,0.0,0.0,0.0,0.48,0.0,8.0,0.0,37.5,0.0
0.0,0.32,1.5,6.0,25.0,0.0,0.0,0.0,0.0,0.48,1.92,8.0,9.0,37.5,150.0
