Specimen_Shape,D[mm],H[mm],T[deg.C],S_3[MPa],RCA%,w_eff/c,a/c,r_adr[kg/m3],r_adn[kg/m3],r_bdr[kg/m3],r_bdn[kg/m3],WA_RCA[%],WA_NA[%],CI_RCA[%],CI_NA[%],f_c[MPa],e0[10^-3],Ec[GPa],s_1[MPa],e1[10^-3]
C1,50,100,N/A,0,0,0.40,2.50,N/A,2760,N/A,1429,N/A,1.35,N/A,13,64.36,2.179,N/A,64.36,2.179
C1,50,100,N/A,8,0,0.40,2.50,N/A,2760,N/A,1429,N/A,1.35,N/A,13,64.36,2.179,N/A,120.67,10.202
C1,50,100,N/A,16,0,0.40,2.50,N/A,2760,N/A,1429,N/A,1.35,N/A,13,64.36,2.179,N/A,158.98,15.889
C1,50,100,N/A,24,0,0.40,2.50,N/A,2760,N/A,1429,N/A,1.35,N/A,13,64.36,2.179,N/A,188.16,19.157
C1,50,100,N/A,32,0,0.40,2.50,N/A,2760,N/A,1429,N/A,1.35,N/A,13,64.36,2.179,N/A,219.04,24.846
C1,50,100,N/A,0,50,0.40,2.50,2430,2760,1260,1429,5.96,1.35,19.5,13,45.21,2.402,N/A,45.21,2.402
C1,50,100,N/A,8,50,0.40,2.50,2430,2760,1260,1429,5.96,1.35,19.5,13,45.21,2.402,N/A,91.49,11.975
C1,50,100,N/A,16,50,0.40,2.50,2430,2760,1260,1429,5.96,1.35,19.5,13,45.21,2.402,N/A,132.29,18.751
C1,50,100,N/A,24,50,0.40,2.50,2430,2760,1260,1429,5.96,1.35,19.5,13,45.21,2.402,N/A,165.46,18.751
C1,50,100,N/A,32,50,0.40,2.50,2430,2760,1260,1429,5.96,1.35,19.5,13,45.21,2.402,N/A,191.56,25.908
C1,50,100,N/A,0,100,0.40,2.50,2430,N/A,1260,N/A,5.96,N/A,19.5,N/A,47.98,2.520,N/A,47.98,2.520
C1,50,100,N/A,8,100,0.40,2.50,2430,N/A,1260,N/A,5.96,N/A,19.5,N/A,47.98,2.520,N/A,90.65,11.939
C1,50,100,N/A,16,100,0.40,2.50,2430,N/A,1260,N/A,5.96,N/A,19.5,N/A,47.98,2.520,N/A,122.51,16.996
C1,50,100,N/A,24,100,0.40,2.50,2430,N/A,1260,N/A,5.96,N/A,19.5,N/A,47.98,2.520,N/A,148.39,31.959
C1,50,100,N/A,32,100,0.40,2.50,2430,N/A,1260,N/A,5.96,N/A,19.5,N/A,47.98,2.520,N/A,180.30,35.950
C2,100,200,N/A,0,0,0.50,3.10,N/A,2730,N/A,1109.4,N/A,0.31,N/A,N/A,36.52,N/A,N/A,36.52,N/A
C2,100,200,N/A,4.5,0,0.50,3.10,N/A,2730,N/A,1109.4,N/A,0.31,N/A,N/A,36.52,N/A,N/A,62.00,N/A
C2,100,200,N/A,15,0,0.50,3.10,N/A,2730,N/A,1109.4,N/A,0.31,N/A,N/A,36.52,N/A,N/A,94.05,N/A
C2,100,200,N/A,21,0,0.50,3.10,N/A,2730,N/A,1109.4,N/A,0.31,N/A,N/A,36.52,N/A,N/A,118.48,N/A
