Specimen_Type,B[mm],H[mm],s3_to_s1,s2_to_s1,RCA%,W_eff/c,a/c,r_adr[kg/m3],r_adn[kg/m3],r_bdr[kg/m3],r_bdn[kg/m3],WA_RCA[%],WA_NA[%],CI_RCA[%],CI_NA[%],f_c[MPa],e0[10^-3],Ec[GPa],s_1[MPa],e1[10^-3]
S2,150,150,0,0,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,22.85,N/A
S2,150,150,0,1,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,32.19,N/A
S2,150,150,0.1,0.1,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,71.19,N/A
S2,150,150,0.1,0.25,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,96.40,N/A
S2,150,150,0.1,0.5,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,112.02,N/A
S2,150,150,0.1,0.75,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,109.26,N/A
S2,150,150,0.1,1,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,97.32,N/A
S2,150,150,0,0,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,27.74,N/A
S2,150,150,0,1,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,39.93,N/A
S2,150,150,0.1,0.1,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,90.39,N/A
S2,150,150,0.1,0.25,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,103.36,N/A
S2,150,150,0.1,0.5,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,107.40,N/A
S2,150,150,0.1,0.75,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,112.77,N/A
S2,150,150,0.1,1,50,0.37,3.13,2560,2720,1350,1470,2.91,0.56,11.42,3.89,27.74,N/A,N/A,102.65,N/A
S2,150,150,0,0,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,30.68,N/A
S2,150,150,0,1,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,38.39,N/A
S2,150,150,0.1,0.1,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,89.61,N/A
S2,150,150,0.1,0.25,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,104.22,N/A
S2,150,150,0.1,0.5,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,110.81,N/A
S2,150,150,0.1,0.75,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,107.92,N/A
S2,150,150,0.1,1,30,0.30,2.35,2560,2720,1350,1470,2.91,0.56,11.42,3.89,30.68,N/A,N/A,108.64,N/A
S2,150,150,0,0,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,22.85,N/A
S2,150,150,0,1,30,0.40,3.17,2560,2720,1350,1470,2.91,0.56,11.42,3.89,22.85,N/A,N/A,32.19,N/A
